,id_cliente,qtd_filhos,rendimento_anual,idade,tamanho_familia,anos_empregado,tem_carro,tem_casa_propria,tem_telefone_trabalho,tem_telefone_fixo,tem_email,categoria_de_renda,estado_civil,moradia,ocupacao,grau_escolaridade,mau
29,5008873,2,126000.0,34,4,4.9,0,1,0,0,1,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
30,5008874,2,126000.0,34,4,4.9,0,1,0,0,1,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
31,5008875,2,126000.0,34,4,4.9,0,1,0,0,1,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
32,5008876,2,126000.0,34,4,4.9,0,1,0,0,1,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
33,5008879,2,126000.0,34,4,4.9,0,1,0,0,1,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
34,5008881,2,126000.0,34,4,4.9,0,1,0,0,1,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
35,5008882,2,126000.0,34,4,4.9,0,1,0,0,1,Associado comercial,Casado,Casa propria,Gerencia,Ensino superior,0
36,5008884,0,315000.0,55,1,-1.7,0,1,0,0,0,Pensionista,Viuvo,Casa propria,Outros,Ensino medio,0
37,5008892,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
38,5008893,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
39,5008894,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
40,5008895,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
41,5008896,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
42,5008897,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
43,5008898,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
44,5008899,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
45,5008900,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
46,5008901,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
47,5008902,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
48,5008903,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
49,5008904,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
50,5008905,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
51,5008906,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
52,5008907,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
53,5008908,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
54,5008909,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
55,5008910,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
56,5008911,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
57,5008912,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
58,5008913,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
59,5008914,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
60,5008915,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
61,5008916,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
62,5008917,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
63,5008918,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
64,5008919,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
65,5008920,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
66,5008921,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
67,5008922,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
68,5008923,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
69,5008924,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
70,5008925,0,297000.0,43,1,8.9,0,1,0,0,0,Associado comercial,Solteiro,Alugado,Construcao Civil,Ensino medio,0
71,5008942,0,157500.0,37,2,13.3,0,0,0,1,0,Associado comercial,Casado,Casa propria,Alta tecnologia,Ensino superior,0
72,5008943,0,157500.0,37,2,13.3,0,0,0,1,0,Associado comercial,Casado,Casa propria,Alta tecnologia,Ensino superior,0
73,5008944,0,157500.0,37,2,13.3,0,0,0,1,0,Associado comercial,Casado,Casa propria,Alta tecnologia,Ensino superior,0
74,5008945,0,157500.0,37,2,13.3,0,0,0,1,0,Associado comercial,Casado,Casa propria,Alta tecnologia,Ensino superior,0
75,5008946,0,157500.0,37,2,13.3,0,0,0,1,0,Associado comercial,Casado,Casa propria,Alta tecnologia,Ensino superior,0
76,5008947,0,135000.0,42,2,3.9,0,1,1,1,0,Empregado,Casado,Casa propria,Motorista,Ensino medio,0
77,5008948,0,135000.0,42,2,3.9,0,1,1,1,0,Empregado,Casado,Casa propria,Motorista,Ensino medio,0
78,5008950,0,135000.0,42,2,3.9,0,1,1,1,0,Empregado,Casado,Casa propria,Motorista,Ensino medio,0
79,5008951,1,225000.0,28,3,7.7,0,1,0,0,0,Empregado,Casado,Casa propria,Outros,Ensino medio,0
80,5008952,1,225000.0,28,3,7.7,0,1,0,0,0,Empregado,Casado,Casa propria,Outros,Ensino medio,0
81,5008953,1,225000.0,28,3,7.7,0,1,0,0,0,Empregado,Casado,Casa propria,Outros,Ensino medio,0
82,5008956,0,135000.0,49,2,4.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
83,5008957,0,135000.0,49,2,4.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
84,5008959,0,135000.0,49,2,4.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
85,5008960,0,135000.0,49,2,4.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
86,5008962,0,135000.0,49,2,4.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
87,5008963,0,135000.0,49,2,4.7,1,1,0,0,0,Empregado,Casado,Casa propria,Construcao Civil,Ensino medio,0
88,5008966,0,157500.0,44,2,2.4,0,1,0,1,0,Empregado,Casado,Casa propria,Outros,Ensino medio,0
89,5008967,0,157500.0,44,2,2.4,0,1,0,1,0,Empregado,Casado,Casa propria,Outros,Ensino medio,0
90,5008975,0,112500.0,61,2,-1.7,0,1,0,0,0,Pensionista,Casado,Casa propria,Outros,Ensino medio,0
91,5008977,0,112500.0,61,2,-1.7,0,1,0,0,0,Pensionista,Casado,Casa propria,Outros,Ensino medio,0
92,5008978,0,112500.0,61,2,-1.7,0,1,0,0,0,Pensionista,Casado,Casa propria,Outros,Ensino medio,0
93,5008979,0,112500.0,61,2,-1.7,0,1,0,0,0,Pensionista,Casado,Casa propria,Outros,Ensino medio,0
94,5008980,0,112500.0,61,2,-1.7,0,1,0,0,0,Pensionista,Casado,Casa propria,Outros,Ensino medio,0
95,5008984,0,112500.0,57,2,6.5,1,1,0,1,0,Servidor publico,Casado,Casa propria,Motorista,Ensino medio,0
96,5008988,0,112500.0,57,2,6.5,1,1,0,1,0,Servidor publico,Casado,Casa propria,Motorista,Ensino medio,0
97,5008991,0,270000.0,45,1,3.3,1,1,1,1,0,Empregado,Separado,Casa propria,Limpeza,Ensino medio,0
98,5008993,0,270000.0,45,1,3.3,1,1,1,1,0,Empregado,Separado,Casa propria,Limpeza,Ensino medio,0
99,5008994,0,270000.0,45,1,3.3,1,1,1,1,0,Empregado,Separado,Casa propria,Limpeza,Ensino medio,0
100,5008995,0,270000.0,45,1,3.3,1,1,1,1,0,Empregado,Separado,Casa propria,Limpeza,Ensino medio,0
101,5112861,0,270000.0,45,1,3.3,1,1,1,1,0,Empregado,Separado,Casa propria,Limpeza,Ensino medio,0
102,5009000,0,157500.0,27,2,2.3,1,1,0,0,0,Empregado,Casado,Casa propria,Motorista,Ensino medio,0
103,5009016,2,216000.0,42,4,8.5,0,1,0,0,1,Servidor publico,Casado,Casa propria,Outros,Ensino superior,0
104,5009018,2,216000.0,42,4,8.5,0,1,0,0,1,Servidor publico,Casado,Casa propria,Outros,Ensino superior,0
105,5009019,2,216000.0,42,4,8.5,0,1,0,0,1,Servidor publico,Casado,Casa propria,Outros,Ensino superior,0
106,5009020,2,216000.0,42,4,8.5,0,1,0,0,1,Servidor publico,Casado,Casa propria,Outros,Ensino superior,0
107,5009022,2,216000.0,42,4,8.5,0,1,0,0,1,Servidor publico,Casado,Casa propria,Outros,Ensino superior,0
108,5009023,2,216000.0,42,4,8.5,0,1,0,0,1,Servidor publico,Casado,Casa propria,Outros,Ensino superior,0
109,5009025,2,216000.0,42,4,8.5,0,1,0,0,1,Servidor publico,Casado,Casa propria,Outros,Ensino superior,0
110,5009027,0,270000.0,54,2,29.7,1,1,0,0,1,Associado comercial,Casado,Casa propria,Construcao Civil,Ensino medio,0
111,5112862,0,270000.0,54,2,29.7,1,1,0,0,1,Associado comercial,Casado,Casa propria,Construcao Civil,Ensino medio,0
112,5009029,0,225000.0,40,2,7.6,1,1,0,0,0,Associado comercial,Casado,Casa propria,Construcao Civil,Ensino medio,0
113,5009031,0,315000.0,29,1,3.3,0,1,0,0,0,Empregado,Solteiro,Casa propria,Contabilidade,Ensino medio,0
114,5009032,0,315000.0,29,1,3.3,0,1,0,0,0,Empregado,Solteiro,Casa propria,Contabilidade,Ensino medio,0
115,5009033,0,255150.0,51,2,-1.7,0,0,0,0,0,Pensionista,Uniao estavel,Alugado,Outros,Ensino superior incompleto,0
116,5009034,0,255150.0,51,2,-1.7,0,0,0,0,0,Pensionista,Uniao estavel,Alugado,Outros,Ensino superior incompleto,0
117,5009036,0,255150.0,51,2,-1.7,0,0,0,0,0,Pensionista,Uniao estavel,Alugado,Outros,Ensino superior incompleto,0
118,5009037,0,255150.0,51,2,-1.7,0,0,0,0,0,Pensionista,Uniao estavel,Alugado,Outros,Ensino superior incompleto,0
119,5009038,0,255150.0,51,2,-1.7,0,0,0,0,0,Pensionista,Uniao estavel,Alugado,Outros,Ensino superior incompleto,0
120,5009042,0,148500.0,48,2,2.4,0,1,0,0,0,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
121,5009043,0,148500.0,48,2,2.4,0,1,0,0,0,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
122,5009044,0,148500.0,48,2,2.4,0,1,0,0,0,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
123,5009045,0,148500.0,48,2,2.4,0,1,0,0,0,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
124,5009050,2,202500.0,30,4,6.3,0,1,0,0,1,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
125,5009051,2,202500.0,30,4,6.3,0,1,0,0,1,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
126,5009052,2,202500.0,30,4,6.3,0,1,0,0,1,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
127,5009053,2,202500.0,30,4,6.3,0,1,0,0,1,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
128,5009055,2,202500.0,30,4,6.3,0,1,0,0,1,Empregado,Casado,Casa propria,Equipe principal,Ensino superior,0
129,5009062,0,315000.0,29,2,5.7,1,1,0,0,0,Empregado,Uniao estavel,Casa propria,Venda,Ensino medio,0
130,5009063,0,315000.0,29,2,5.7,1,1,0,0,0,Empregado,Uniao estavel,Casa propria,Venda,Ensino medio,0
131,5009066,0,315000.0,29,2,5.7,1,1,0,0,0,Empregado,Uniao estavel,Casa propria,Venda,Ensino medio,0
132,5009068,0,315000.0,29,2,5.7,1,1,0,0,0,Empregado,Uniao estavel,Casa propria,Venda,Ensino medio,0
133,5009069,0,315000.0,29,2,5.7,1,1,0,0,0,Empregado,Uniao estavel,Casa propria,Venda,Ensino medio,0
134,5009070,0,315000.0,29,2,5.7,1,1,0,0,0,Empregado,Uniao estavel,Casa propria,Venda,Ensino medio,0
135,5009071,0,270000.0,28,2,8.7,1,1,0,1,1,Associado comercial,Uniao estavel,Habitacao publica,Alta tecnologia,Ensino superior incompleto,0
136,5009072,0,270000.0,28,2,8.7,1,1,0,1,1,Associado comercial,Uniao estavel,Habitacao publica,Alta tecnologia,Ensino superior incompleto,0
137,5009074,1,161100.0,49,3,1.9,1,1,0,1,1,Servidor publico,Casado,Casa propria,Equipe principal,Ensino superior,0
138,5009075,1,161100.0,49,3,1.9,1,1,0,1,1,Servidor publico,Casado,Casa propria,Equipe principal,Ensino superior,0
139,5009078,1,180000.0,39,3,3.5,0,1,0,0,0,Empregado,Casado,Mora com os pais,Motorista,Ensino medio,0
140,5009079,0,112500.0,28,2,8.7,0,1,0,0,1,Empregado,Uniao estavel,Casa propria,Construcao Civil,Ensino superior,0
141,5009080,0,112500.0,28,2,8.7,0,1,0,0,1,Empregado,Uniao estavel,Casa propria,Construcao Civil,Ensino superior,0
142,5009081,0,112500.0,28,2,8.7,0,1,0,0,1,Empregado,Uniao estavel,Casa propria,Construcao Civil,Ensino superior,0
143,5009083,0,90000.0,56,2,15.7,0,1,0,0,0,Empregado,Casado,Casa propria,Motorista,Ensino medio,0
144,5009088,2,202500.0,40,4,8.2,1,0,0,0,0,Associado comercial,Casado,Casa propria,Construcao Civil,Ensino superior,0
145,5009089,2,202500.0,40,4,8.2,1,0,0,0,0,Associado comercial,Casado,Casa propria,Construcao Civil,Ensino superior,0
146,5009090,0,247500.0,35,2,11.0,1,1,0,0,0,Empregado,Casado,Casa propria,Motorista,Ensino medio,0
147,5009096,1,270000.0,37,3,12.0,0,1,0,0,1,Associado comercial,Casado,Casa propria,Contabilidade,Ensino medio,0
148,5009097,1,270000.0,37,3,12.0,0,1,0,0,1,Associado comercial,Casado,Casa propria,Contabilidade,Ensino medio,0
149,5009098,1,270000.0,37,3,12.0,0,1,0,0,1,Associado comercial,Casado,Casa propria,Contabilidade,Ensino medio,0
150,5009099,0,315000.0,36,1,1.5,0,1,0,0,0,Empregado,Separado,Casa propria,Gerencia,Ensino superior,0
151,5009100,0,315000.0,36,1,1.5,0,1,0,0,0,Empregado,Separado,Casa propria,Gerencia,Ensino superior,0
152,5009103,2,157500.0,35,4,11.1,1,1,0,1,0,Empregado,Casado,Mora com os pais,Motorista,Ensino medio,0
153,5009104,2,157500.0,35,4,11.1,1,1,0,1,0,Empregado,Casado,Mora com os pais,Motorista,Ensino medio,0
154,5009105,2,157500.0,35,4,11.1,1,1,0,1,0,Empregado,Casado,Mora com os pais,Motorista,Ensino medio,0
155,5009106,2,157500.0,35,4,11.1,1,1,0,1,0,Empregado,Casado,Mora com os pais,Motorista,Ensino medio,0
156,5112876,2,157500.0,35,4,11.1,1,1,0,1,0,Empregado,Casado,Mora com os pais,Motorista,Ensino medio,0
157,5009109,0,360000.0,42,2,7.5,0,1,0,0,0,Associado comercial,Casado,Casa propria,Seguranca,Ensino medio,0
158,5009116,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
159,5009117,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
160,5009118,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
161,5009120,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
162,5009122,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
163,5009123,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
164,5009124,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
165,5009125,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
166,5009126,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
167,5009127,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
168,5009128,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
169,5009130,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
170,5009131,0,157500.0,43,1,1.2,0,0,0,0,0,Associado comercial,Separado,Mora com os pais,Outros,Ensino superior,0
171,5009133,0,382500.0,59,1,-1.7,0,1,0,0,0,Pensionista,Viuvo,Casa propria,Outros,Ensino medio,0
172,5009134,0,382500.0,59,1,-1.7,0,1,0,0,0,Pensionista,Viuvo,Casa propria,Outros,Ensino medio,0
173,5009136,0,382500.0,59,1,-1.7,0,1,0,0,0,Pensionista,Viuvo,Casa propria,Outros,Ensino medio,0
174,5009138,0,382500.0,59,1,-1.7,0,1,0,0,0,Pensionista,Viuvo,Casa propria,Outros,Ensino medio,0
175,5009141,0,135000.0,26,2,4.3,0,0,1,1,0,Empregado,Uniao estavel,Casa propria,Gerencia,Ensino medio,0
176,5009145,0,315000.0,43,2,10.2,1,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
177,5009146,0,315000.0,43,2,10.2,1,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
178,5009147,0,315000.0,43,2,10.2,1,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
179,5009150,0,315000.0,43,2,10.2,1,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
180,5009151,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
181,5009152,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
182,5009153,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
183,5009154,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
184,5009155,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
185,5009156,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
186,5009157,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
187,5009158,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
188,5009159,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
189,5009160,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
190,5009161,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
191,5009162,0,180000.0,54,2,7.9,0,0,0,0,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
192,5009163,0,157500.0,35,2,8.7,0,0,0,1,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
193,5009164,0,157500.0,35,2,8.7,0,0,0,1,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
194,5009165,0,157500.0,35,2,8.7,0,0,0,1,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
195,5009166,0,157500.0,35,2,8.7,0,0,0,1,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
196,5009168,0,157500.0,35,2,8.7,0,0,0,1,0,Empregado,Casado,Casa propria,Venda,Ensino medio,0
197,5009170,0,144000.0,63,2,-1.7,1,0,0,1,1,Pensionista,Casado,Casa propria,Outros,Ensino medio,0
198,5009177,0,229500.0,50,2,3.4,1,0,0,0,0,Empregado,Casado,Cooperativa habitacional,Construcao Civil,Ensino superior incompleto,0
199,5009178,0,229500.0,50,2,3.4,1,0,0,0,0,Empregado,Casado,Cooperativa habitacional,Construcao Civil,Ensino superior incompleto,0
200,5009179,0,229500.0,50,2,3.4,1,0,0,0,0,Empregado,Casado,Cooperativa habitacional,Construcao Civil,Ensino superior incompleto,0
201,5009180,0,229500.0,50,2,3.4,1,0,0,0,0,Empregado,Casado,Cooperativa habitacional,Construcao Civil,Ensino superior incompleto,0
202,5009181,0,229500.0,50,2,3.4,1,0,0,0,0,Empregado,Casado,Cooperativa habitacional,Construcao Civil,Ensino superior incompleto,0
203,5009182,0,229500.0,50,2,3.4,1,0,0,0,0,Empregado,Casado,Cooperativa habitacional,Construcao Civil,Ensino superior incompleto,0
204,5009183,0,229500.0,50,2,3.4,1,0,0,0,0,Empregado,Casado,Cooperativa habitacional,Construcao Civil,Ensino superior incompleto,0
205,5009188,0,270000.0,48,2,15.9,0,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
206,5009189,0,270000.0,48,2,15.9,0,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
207,5009190,0,270000.0,48,2,15.9,0,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
208,5009191,0,270000.0,48,2,15.9,0,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
209,5009192,0,270000.0,48,2,15.9,0,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
210,5009193,0,270000.0,48,2,15.9,0,0,1,1,0,Empregado,Casado,Casa propria,Gerencia,Ensino superior,0
211,5009198,0,292500.0,57,2,23.8,0,0,1,1,0,Servidor publico,Casado,Casa propria,Contabilidade,Ensino medio,0
212,5009203,0,292500.0,57,2,23.8,0,0,1,1,0,Servidor publico,Casado,Casa propria,Contabilidade,Ensino medio,0
213,5009206,0,292500.0,57,2,23.8,0,0,1,1,0,Servidor publico,Casado,Casa propria,Contabilidade,Ensino medio,0
214,5009207,0,292500.0,57,2,23.8,0,0,1,1,0,Servidor publico,Casado,Casa propria,Contabilidade,Ensino medio,0
215,5009208,0,292500.0,57,2,23.8,0,0,1,1,0,Servidor publico,Casado,Casa propria,Contabilidade,Ensino medio,0
216,5009209,0,292500.0,57,2,23.8,0,0,1,1,0,Servidor publico,Casado,Casa propria,Contabilidade,Ensino medio,0
